0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 
33, 36, 39, 42, 45, 48, 51, 54, 57, 60, 
66, 69, 72, 75, 78, 81, 84, 87, 90, 93, 
99, 102, 105, 108, 111, 114, 117, 120, 123, 126, 
132, 135, 138, 141, 144, 147, 150, 153, 156, 159, 
165, 168, 171, 174, 177, 180, 183, 186, 189, 192, 
198, 201, 204, 207, 210, 213, 216, 219, 222, 225, 
231, 234, 237, 240, 243, 246, 249, 252, 255, 258, 
264, 267, 270, 273, 276, 279, 282, 285, 288, 291, 
297, 300, 303, 306, 309, 312, 315, 318, 321, 324, 
330, 333, 336, 339, 342, 345, 348, 351, 354, 357, 
363, 366, 369, 372, 375, 378, 381, 384, 387, 390, 
396, 399, 402, 405, 408, 411, 414, 417, 420, 423, 
429, 432, 435, 438, 441, 444, 447, 450, 453, 456, 
462, 465, 468, 471, 474, 477, 480, 483, 486, 489, 
495, 498, 501, 504, 507, 510, 513, 516, 519, 522, 
528, 531, 534, 537, 540, 543, 546, 549, 552, 555, 
561, 564, 567, 570, 573, 576, 579, 582, 585, 588, 
594, 597, 600, 603, 606, 609, 612, 615, 618, 621, 
627, 630, 633, 636, 639, 642, 645, 648, 651, 654, 
660, 663, 666, 669, 672, 675, 678, 681, 684, 687, 
693, 696, 699, 702, 705, 708, 711, 714, 717, 720, 
726, 729, 732, 735, 738, 741, 744, 747, 750, 753, 
759, 762, 765, 768, 771, 774, 777, 780, 783, 786, 
792, 795, 798, 801, 804, 807, 810, 813, 816, 819, 
825, 828, 831, 834, 837, 840, 843, 846, 849, 852, 
858, 861, 864, 867, 870, 873, 876, 879, 882, 885, 
891, 894, 897, 900, 903, 906, 909, 912, 915, 918, 
924, 927, 930, 933, 936, 939, 942, 945, 948, 951, 
957, 960, 963, 966, 969, 972, 975, 978, 981, 984, 
990, 993, 996, 999
